#################################################
##               rldock score v2               ##
#################################################
in_rec_path:      2CKY-A-1084-TPP/rec.mol2
in_ref_lig_path:  2CKY-A-1084-TPP/cpd_charge.mol2
in_poses_path:    2CKY-A-1084-TPP/pose/pose.mol2
in_info_path:     2CKY-A-1084-TPP/info.txt
in_score_mode:    binding_mode
debye length:     11
rec_file_name:      rec.mol2
ref_lig_file_name:  cpd_charge.mol2
poses_file_name:    pose.mol2
info_file_name:     info.txt
verbose:  0
#################################################
Load receptor: 2CKY_nuc from 2CKY-A-1084-TPP/rec.mol2
--> heavy atom num: 1652
Load reference ligand: TPP from 2CKY-A-1084-TPP/cpd_charge.mol2
--> heavy atom num: 26
#Scoring -----------------------------------------
#pose total dU(lj) dU(ele) dU(mutual_pol) dU(lig_self_pol) dU(sasa) dU(hbond) dU(rec_self_pol) dU(lig_lj) dU(lig_ele) rot_dof dU(stack)
rdock_00_1 -11.852 -3.372 139.333 -138.256 4.972 -3.740 -6.718 3.808 0.142 1.389 8.000 -3.503
rdock_02_1 -12.031 -3.409 141.386 -139.812 4.650 -3.814 -5.873 3.887 0.069 1.276 8.000 -3.516
rdock_02_2 -10.301 -2.736 137.124 -136.096 5.505 -3.917 -8.687 3.721 0.038 0.182 8.000 -1.339
rdock_02_3 -7.523 -2.148 157.578 -150.757 5.493 -3.986 -3.817 3.931 -0.008 -0.499 8.000 -0.582
rdock_02_4 -9.507 -2.216 139.029 -136.620 4.832 -3.980 -5.663 3.534 0.013 -0.213 8.000 -0.655
rdock_02_5 -11.628 -3.367 140.199 -139.434 4.808 -3.588 -6.635 3.784 0.079 1.523 8.000 -3.481
rdock_02_6 -11.784 -3.798 140.751 -139.749 5.687 -3.862 -7.259 4.136 0.143 1.774 8.000 -3.493
rdock_02_7 -9.957 -2.347 141.707 -137.419 5.376 -4.072 -6.365 3.569 -0.088 -2.250 8.000 -1.084
rdock_02_8 -8.951 -2.556 138.833 -136.441 5.629 -3.965 -5.996 3.861 0.048 1.260 8.000 -1.082
rdock_02_9 -12.489 -3.863 142.051 -140.970 4.953 -3.874 -5.850 4.109 0.135 1.412 8.000 -3.759
rdock_02_10 -9.429 -2.124 141.333 -138.475 5.154 -4.126 -4.412 3.642 -0.011 -0.770 8.000 -0.547
rdock_02_11 -11.771 -3.289 135.835 -135.372 4.820 -3.808 -6.310 3.858 0.061 1.684 8.000 -3.196
rdock_02_12 -10.477 -2.604 137.206 -135.972 4.891 -3.847 -7.173 3.517 0.118 1.245 8.000 -1.837
rdock_02_13 -9.806 -3.042 141.810 -140.295 5.868 -4.001 -5.520 4.216 0.006 1.105 8.000 -1.683
rdock_02_14 -11.600 -3.519 144.173 -143.312 6.204 -3.964 -7.163 4.197 0.003 0.932 8.000 -3.144
rdock_02_15 -9.413 -2.210 137.212 -135.469 5.077 -3.903 -5.725 3.527 0.068 0.456 8.000 -0.937
rdock_02_16 -11.400 -3.439 144.494 -142.539 5.818 -3.980 -7.409 4.088 0.175 1.280 8.000 -3.130
rdock_02_17 -9.947 -2.577 139.606 -137.152 5.159 -3.940 -5.299 3.779 0.067 -0.021 8.000 -1.598
rdock_02_18 -10.015 -2.712 142.291 -138.494 5.787 -4.009 -7.738 3.728 -0.022 -2.226 8.000 -1.162
rdock_02_19 -9.698 -2.128 140.803 -136.497 4.789 -3.900 -6.022 3.357 -0.073 -2.582 8.000 -0.862
rdock_02_20 -9.164 -1.980 138.362 -135.847 4.826 -4.053 -5.054 3.276 0.009 1.078 8.000 -0.412
rdock_02_21 -11.038 -3.205 141.236 -139.807 5.617 -3.785 -6.666 3.976 0.092 -0.173 8.000 -2.723
rdock_02_22 -12.011 -3.937 142.858 -141.666 5.442 -3.788 -7.199 4.116 0.035 1.119 8.000 -3.479
rdock_02_23 -11.721 -3.899 143.877 -142.317 6.068 -3.875 -7.153 4.325 0.143 1.608 8.000 -3.856
rdock_02_24 -10.805 -2.643 135.763 -134.592 5.213 -3.846 -7.868 3.570 0.057 0.570 8.000 -2.178
rdock_02_25 -11.444 -3.964 144.019 -142.743 6.036 -3.793 -6.323 4.513 0.142 0.632 8.000 -3.589
rdock_02_26 -10.534 -3.720 149.978 -145.823 5.896 -3.643 -6.417 4.455 0.033 -0.711 8.000 -3.590
rdock_02_27 -11.860 -4.048 142.669 -142.420 6.505 -3.769 -8.003 4.339 0.170 1.229 8.000 -3.811
rdock_02_28 -12.413 -3.861 140.349 -140.027 5.392 -3.818 -8.679 4.085 0.290 1.743 8.000 -3.738
rdock_02_29 -9.413 -1.864 140.980 -137.612 4.536 -4.065 -4.542 3.175 -0.052 0.383 8.000 -0.549
rdock_02_30 -7.533 -2.024 159.523 -154.103 6.518 -3.977 -5.075 3.517 0.111 1.462 8.000 -0.730
rdock_02_31 -9.811 -2.140 142.485 -138.580 4.568 -4.035 -6.139 3.446 -0.011 -1.118 8.000 -0.816
rdock_02_32 -7.395 -2.566 147.043 -142.069 5.657 -3.656 -5.884 4.134 0.085 -0.409 8.000 -0.892
rdock_02_33 -10.427 -2.869 140.546 -138.794 4.764 -3.885 -4.984 3.744 0.146 1.682 8.000 -2.080
rdock_02_34 -9.073 -2.637 139.614 -137.551 5.120 -3.792 -5.866 3.918 0.047 0.421 8.000 -1.066
rdock_02_35 -11.721 -3.397 143.766 -142.256 5.646 -3.974 -8.498 3.989 0.073 0.628 8.000 -2.848
rdock_02_36 -9.907 -2.512 136.939 -135.139 5.091 -3.880 -8.255 3.590 0.054 0.103 8.000 -1.111
rdock_02_37 -11.703 -3.293 141.579 -139.777 4.793 -3.689 -7.017 3.813 0.058 -0.014 8.000 -3.191
rdock_02_38 -9.770 -2.322 137.213 -136.400 4.759 -3.970 -6.055 3.657 0.136 1.595 8.000 -1.013
rdock_02_39 -7.868 -2.187 159.198 -152.075 6.146 -3.982 -5.936 3.798 -0.082 -0.609 8.000 -1.026
rdock_02_40 -11.440 -3.544 145.441 -141.911 5.067 -3.700 -6.926 4.044 -0.007 -0.606 8.000 -3.469
rdock_02_41 -9.744 -2.264 141.646 -137.774 5.932 -4.004 -7.882 3.413 -0.022 -2.375 8.000 -0.932
rdock_02_42 -9.083 -1.994 140.790 -137.949 4.938 -4.030 -4.826 3.485 0.026 -0.310 8.000 -0.362
